nama,harga,category,gambar,link_product,product_type,color_and_material,size
IDÅSEN,1799000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/563/0856365_PE709877_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/136/0613642_PE686434_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/idasen-art-30320731,unit laci beroda, krem, 42x61 cm
MITTZON,4299000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/162/1216216_PE912358_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/941/1294134_PE935312_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/mittzon-art-20527949,meja lipat dengan roda, hitam, 140x70 cm
TROTTEN,1299000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/207/1020747_PE831975_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/602/1160251_PE888826_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-spr-29429548,meja, krem/antrasit, 120x60 cm
IDÅSEN,4299000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/240/1124022_PE874976_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/201/1020153_PE831807_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/idasen-art-70496399,kabinet dengan pintu dan laci, hijau tua, 80x47x119 cm
SMÖRKULL,2499000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/904/1190466_PE900234_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/871/1187106_PE899041_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/smorkull-art-30503453,kursi kantor dgn sndrn tangan, Gräsnäs merah,
TROTTEN,1799000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/126/1012660_PE828953_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/953/1195311_PE902346_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/trotten-art-90474787,troli, putih, 80x40 cm
IDÅSEN,3999000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/562/0856244_PE710218_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/136/0613633_PE686429_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/idasen-art-50320730,kabinet dengan pintu dan laci, krem, 80x47x119 cm
ELLOVEN,1999000,"{' Sekat meja dan pemisah ruangan ', ' Ruang kerja ', 'Showroom ', ' Ruang kerja kantor'}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/238/1023835_PE833303_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/100/1110000_PE870329_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/sekat-meja-dan-pemisah-ruangan/elloven-art-10474786,papan tulis/papan memo beroda, putih, 70x180 cm
TROTTEN,2699000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/072/1007249_PE826000_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/806/1080615_PE858107_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/trotten-art-70474774,kabinet berpintu, putih, 70x35x173 cm
TROLLBERGET,1999000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/273/0727385_PE735637_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/240/1124022_PE874976_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/trollberget-art-80388262,penyangga berdiri/duduk aktif, Grann krem,
GALANT,3499000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/132/0613253_PE686183_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/566/0856673_PE709398_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/galant-art-40365154,unit laci beroda, veneer kayu ash diwarnai hitam, 45x55 cm
IDÅSEN,10695000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/349/0734937_PE739671_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/554/0855435_PE733228_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/idasen-spr-99280959,meja duduk/berdiri, cokelat/abu-abu tua, 120x70 cm
IDÅSEN,3299000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/201/1020158_PE831810_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/412/1041215_PE840915_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/idasen-art-90496402,kabinet tinggi dengan laci+pintu, hijau tua, 45x172 cm
GRÖNFJÄLL,4999000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/369/1236976_PE917789_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/733/1273321_PE930000_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/gronfjall-art-90503474,kursi kantor dgn sndrn tangan, Letafors abu-abu/hitam,
LÅNGFJÄLL,3199000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/616/0461612_PE607618_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/254/0725490_PE734885_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/langfjall-spr-19178079,kursi konferensi dg sandaran tangan, Gunnared biru/hitam,
IDÅSEN,11195000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/554/0855478_PE709497_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/349/0734938_PE739672_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/idasen-spr-99280983,meja duduk/berdiri, hitam/krem, 160x80 cm
TROTTEN,2999000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/207/1020759_PE831985_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/745/1074511_PE856217_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-spr-19429582,meja duduk/berdiri, putih/antrasit, 120x70 cm
MITTZON,2499000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/358/1235864_PE917380_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/358/1235863_PE917381_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/mittzon-art-10515602,meja laptop dengan roda, putih, 66x50 cm
LIDKULLEN,1499000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/602/1160244_PE888819_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/713/0771305_PE755686_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/lidkullen-art-80445781,penyangga berdiri/duduk aktif, Gunnared krem,
TROTTEN,1799000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/215/1021520_PE832170_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/127/1012719_PE828990_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-spr-19429563,meja, putih/antrasit, 160x80 cm
TROTTEN/MATCHSPEL,4398000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/462/1246239_PE922055_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/462/1246240_PE922054_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-matchspel-spr-29537760,meja dan kursi, putih/abu-abu muda,
IDÅSEN,10695000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/240/1124014_PE874968_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/349/0734936_PE739670_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/idasen-spr-99280921,meja duduk/berdiri, cokelat/krem, 120x70 cm
MITTZON,8199000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/130/1213076_PE910907_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/055/1205588_PE907151_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/mittzon-spr-99526503,meja duduk/berdiri, elektrik veneer kayu birch/putih, 120x60 cm
TROTTEN,1299000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/127/1012700_PE828979_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/913/1191378_PE900624_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-spr-89429569,meja, krem/antrasit, 120x70 cm
FLINTAN,1249000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/383/1338383_PE948288_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/383/1338390_PE948289_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/flintan-spr-59572846,kursi kantor dgn sndrn tangan, Diseröd abu-abu,
GALANT,3499000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/132/0613254_PE686184_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/556/0855638_PE709399_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/galant-art-00365151,unit laci beroda, veneer kayu oak diwarnai putih, 45x55 cm
TROTTEN,699000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/094/1009416_PE827587_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/894/1189424_PE899821_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/trotten-art-00474862,unit laci, antrasit, 34x56 cm
TROTTEN,1299000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/215/1021520_PE832170_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/127/1012707_PE828982_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-spr-29429572,meja, putih/antrasit, 120x70 cm
TROTTEN,1599000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/215/1021520_PE832170_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/127/1012713_PE828986_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-spr-09429554,meja, putih/antrasit, 140x80 cm
IDÅSEN,3195000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/374/0937465_PE793741_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/323/0932308_PE791407_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/idasen-spr-59395900,meja, cokelat/krem, 140x70x75 cm
IDÅSEN,3299000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/136/0613651_PE686440_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/562/0856266_PE714166_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/idasen-art-10320732,kabinet tinggi dengan laci+pintu, krem, 45x172 cm
TROTTEN,1599000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/127/1012710_PE828985_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/212/1021232_PE832077_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-spr-39429557,meja, putih, 140x80 cm
TROTTEN,1599000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/806/1080603_PE858095_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/127/1012708_PE828983_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-spr-69429551,meja, krem/antrasit, 140x80 cm
GALANT,6599000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/132/0613219_PE686155_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/564/0856471_PE709376_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/galant-art-10365160,unit laci, veneer kayu ash diwarnai hitam, 80x80 cm
GALANT,6299000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/132/0613223_PE686157_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/552/0855263_PE709383_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/galant-art-70365162,unit laci, putih, 80x80 cm
GALANT,2999000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/555/0855590_PE657681_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/132/0613246_PE686179_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/galant-art-90365156,unit laci beroda, putih, 45x55 cm
IDÅSEN,1799000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/738/0973814_PH172909_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/136/0613647_PE686436_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/idasen-art-30398089,unit laci beroda, emas-cokelat, 42x61 cm
LÅNGFJÄLL,2699000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/254/0725493_PE734884_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/612/0461213_PE607412_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/langfjall-spr-59177662,kursi rapat, Gunnared biru/hitam,
IDÅSEN,4999000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/094/0709466_PH154772_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/136/0613638_PE686433_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/idasen-art-60360952,kabinet dengan pintu geser kaca, krem, 120x140 cm
EILIF,1299000,"{' Sekat meja dan pemisah ruangan ', ' Ruang kerja ', 'Showroom ', ' Ruang kerja kantor'}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/738/0973815_PH173012_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/298/0929837_PE790488_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/sekat-meja-dan-pemisah-ruangan/eilif-art-30482766,sekat untuk meja, abu-abu, 120x48 cm
GALANT,3999000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/129/0612970_PE686104_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/564/0856455_PE709361_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/galant-art-90365142,kabinet berpintu, putih, 80x120 cm
IDÅSEN,3595000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/570/0857050_PE709502_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/365/0736567_PE740621_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/idasen-spr-19281019,meja, cokelat/krem, 120x70 cm
IDÅSEN,3595000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/570/0857070_PE733180_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/365/0736566_PE740637_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/idasen-spr-89281025,meja, hitam/abu-abu tua, 120x70 cm
TROTTEN,3399000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/402/1040267_PE840629_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/207/1020772_PE832025_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/trotten-spr-19429600,meja duduk/berdiri, putih/antrasit, 160x80 cm
MITTZON,3199000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/060/1206000_PE907334_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/865/1286548_PE933602_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/mittzon-spr-19525852,meja, veneer kayu birch/putih, 120x60 cm
LÅNGFJÄLL,2999000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/254/0725421_PE734853_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/532/0853294_PE607533_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/langfjall-spr-39177856,kursi konferensi dg sandaran tangan, Gunnared krem/hitam,
FLINTAN/TROTTEN,2697000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Meja kerja kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/336/1033625_PE837360_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/303/1030305_PE836201_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/meja-kerja-kantor/flintan-trotten-spr-39424946,kombinasi meja dan penyimpanan, dan kursi putar putih/krem,
MULLFJÄLLET,2799000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/936/0993672_PE820658_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/936/0993663_PE820652_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/mullfjallet-spr-49399814,kursi konferensi dengan roda, Naggen abu-abu tua,
IDÅSEN,2999000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/201/1020163_PE831815_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/240/1124023_PE874977_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/idasen-art-90473783,unit rak, krem, 120x140 cm
LÅNGFJÄLL,2499000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/547/0854717_PE607364_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/254/0725426_PE734858_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/langfjall-spr-69177567,kursi rapat, Gunnared krem/hitam,
MULLFJÄLLET,2399000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/559/0955958_PE804390_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/602/1160283_PE888836_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/mullfjallet-art-80472562,kursi konferensi dengan roda, Naggen krem,
TROTTEN,699000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/366/1336641_PE947410_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/094/1009417_PE827588_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/trotten-art-00474782,unit laci, putih, 34x56 cm
TROLLBERGET,1999000,"{' Ruang kerja kantor', ' Ruang kerja ', ' Kursi kantor ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/273/0727397_PE735649_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/326/0832696_PH166178_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/kursi-kantor/trollberget-art-80388257,penyangga berdiri/duduk aktif, Glose hitam,
GALANT,4799000,"{' Ruang kerja kantor', ' Penyimpanan kantor ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/129/0612974_PE686106_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/602/1160288_PE888841_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/penyimpanan-kantor/galant-art-30365140,kabinet berpintu, veneer kayu ash diwarnai hitam, 80x120 cm
EILIF,1999000,"{' Sekat meja dan pemisah ruangan ', ' Ruang kerja ', 'Showroom ', ' Ruang kerja kantor'}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/004/0800440_PE767904_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/972/0797285_PE766813_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/sekat-meja-dan-pemisah-ruangan/eilif-art-30482790,layar berdiri bebas, abu-abu, 80x150 cm
EILIF,2549000,"{' Sekat meja dan pemisah ruangan ', ' Ruang kerja ', 'Showroom ', ' Ruang kerja kantor'}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/135/0913518_PE783632_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/221/0922162_PE788055_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/sekat-meja-dan-pemisah-ruangan/eilif-spr-49387463,layar berdiri bebas, abu-abu/putih, 80x150 cm
MITTZON,1499000,"{' Sekat meja dan pemisah ruangan ', ' Ruang kerja ', 'Showroom ', ' Ruang kerja kantor'}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/380/1238006_PE918252_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/121/1212179_PE910492_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-kantor/sekat-meja-dan-pemisah-ruangan/mittzon-art-30528646,papan tulis/papan pengumuman, putih, 84x110x2 cm
